time,gFx,gFy,gFz,gFTotal
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5380,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5390,-0.159,0.058,-0.982,0.996
2019-06-03 12:33:50.5450,-0.144,0.073,-0.985,0.998
2019-06-03 12:33:50.5600,-0.167,0.069,-0.969,0.986
2019-06-03 12:33:50.5640,-0.142,0.096,-0.95,0.965
2019-06-03 12:33:50.5740,-0.114,0.099,-1.073,1.084
2019-06-03 12:33:50.5840,-0.137,0.102,-0.979,0.994
2019-06-03 12:33:50.5940,-0.112,0.097,-1.064,1.074
2019-06-03 12:33:50.6040,-0.149,0.078,-0.945,0.96
2019-06-03 12:33:50.6140,-0.105,0.074,-1.007,1.015
2019-06-03 12:33:50.6240,-0.172,0.091,-0.984,1.003
2019-06-03 12:33:50.6340,-0.135,0.076,-0.981,0.993
2019-06-03 12:33:50.6440,-0.115,0.077,-1.04,1.049
2019-06-03 12:33:50.6620,-0.153,0.071,-0.988,1.002
2019-06-03 12:33:50.6640,-0.136,0.086,-1.024,1.037
2019-06-03 12:33:50.6740,-0.139,0.104,-0.926,0.942
2019-06-03 12:33:50.6840,-0.136,0.105,-1.062,1.076
2019-06-03 12:33:50.6940,-0.159,0.093,-1.019,1.036
2019-06-03 12:33:50.7040,-0.098,0.074,-1.024,1.031
2019-06-03 12:33:50.7140,-0.138,0.078,-0.928,0.941
2019-06-03 12:33:50.7240,-0.135,0.083,-1.039,1.051
2019-06-03 12:33:50.7340,-0.145,0.083,-0.984,0.998
2019-06-03 12:33:50.7440,-0.092,0.08,-0.942,0.95
2019-06-03 12:33:50.7660,-0.174,0.103,-0.974,0.995
2019-06-03 12:33:50.7660,-0.174,0.103,-0.974,0.995
2019-06-03 12:33:50.7740,-0.108,0.083,-1.029,1.038
2019-06-03 12:33:50.7840,-0.115,0.08,-0.992,1.002
2019-06-03 12:33:50.7940,-0.097,0.083,-1.058,1.066
2019-06-03 12:33:50.8040,-0.148,0.096,-0.945,0.961
2019-06-03 12:33:50.8140,-0.151,0.088,-0.955,0.971
2019-06-03 12:33:50.8240,-0.19,0.078,-0.916,0.939
2019-06-03 12:33:50.8340,-0.116,0.089,-0.977,0.988
2019-06-03 12:33:50.8440,-0.103,0.081,-1.022,1.03
2019-06-03 12:33:50.8740,-0.139,0.079,-0.876,0.89
2019-06-03 12:33:50.8750,-0.139,0.079,-0.876,0.89
2019-06-03 12:33:50.8770,-0.139,0.079,-0.876,0.89
2019-06-03 12:33:50.8840,-0.104,0.077,-0.967,0.976
2019-06-03 12:33:50.8940,-0.179,0.096,-0.876,0.899
2019-06-03 12:33:50.9040,-0.156,0.1,-0.999,1.016
2019-06-03 12:33:50.9140,-0.167,0.085,-0.96,0.978
2019-06-03 12:33:50.9240,-0.081,0.058,-1.019,1.024
2019-06-03 12:33:50.9350,-0.106,0.076,-0.966,0.975
2019-06-03 12:33:50.9440,-0.12,0.071,-0.938,0.948
2019-06-03 12:33:50.9750,-0.142,0.078,-0.934,0.948
2019-06-03 12:33:50.9750,-0.142,0.078,-0.934,0.948
2019-06-03 12:33:50.9750,-0.142,0.078,-0.934,0.948
2019-06-03 12:33:50.9850,-0.123,0.068,-0.906,0.917
2019-06-03 12:33:50.9950,-0.099,0.065,-0.972,0.979
2019-06-03 12:33:51.0040,-0.136,0.084,-0.884,0.898
2019-06-03 12:33:51.0140,-0.14,0.081,-0.999,1.012
2019-06-03 12:33:51.0240,-0.156,0.078,-0.942,0.958
2019-06-03 12:33:51.0340,-0.116,0.048,-0.878,0.887
2019-06-03 12:33:51.0440,-0.125,0.063,-0.865,0.876
2019-06-03 12:33:51.0670,-0.145,0.066,-0.957,0.97
2019-06-03 12:33:51.0670,-0.145,0.066,-0.957,0.97
2019-06-03 12:33:51.0740,-0.166,0.077,-0.913,0.931
2019-06-03 12:33:51.0840,-0.14,0.057,-0.874,0.887
2019-06-03 12:33:51.0940,-0.084,0.076,-0.91,0.917
2019-06-03 12:33:51.1040,-0.147,0.085,-0.949,0.964
2019-06-03 12:33:51.1140,-0.177,0.073,-0.995,1.013
2019-06-03 12:33:51.1250,-0.139,0.071,-0.922,0.935
2019-06-03 12:33:51.1350,-0.106,0.064,-0.85,0.859
2019-06-03 12:33:51.1440,-0.138,0.095,-1.0,1.014
2019-06-03 12:33:51.1750,-0.153,0.079,-0.947,0.963
2019-06-03 12:33:51.1750,-0.153,0.079,-0.947,0.963
2019-06-03 12:33:51.1760,-0.153,0.079,-0.947,0.963
2019-06-03 12:33:51.1840,-0.144,0.07,-0.999,1.012
2019-06-03 12:33:51.1950,-0.143,0.083,-0.991,1.005
2019-06-03 12:33:51.2050,-0.123,0.086,-0.989,1.0
2019-06-03 12:33:51.2150,-0.156,0.1,-0.958,0.976
2019-06-03 12:33:51.2250,-0.172,0.096,-0.978,0.998
2019-06-03 12:33:51.2350,-0.139,0.081,-1.046,1.058
2019-06-03 12:33:51.2450,-0.14,0.08,-0.949,0.963
2019-06-03 12:33:51.2750,-0.14,0.093,-1.093,1.106
2019-06-03 12:33:51.2760,-0.14,0.093,-1.093,1.106
2019-06-03 12:33:51.2760,-0.14,0.093,-1.093,1.106
2019-06-03 12:33:51.2850,-0.205,0.11,-1.039,1.065
2019-06-03 12:33:51.2950,-0.134,0.096,-1.044,1.057
2019-06-03 12:33:51.3050,-0.102,0.076,-1.021,1.029
2019-06-03 12:33:51.3150,-0.119,0.071,-0.959,0.969
2019-06-03 12:33:51.3250,-0.164,0.085,-1.043,1.059
