time,gFx,gFy,gFz,gFTotal
2019-06-03 12:33:52.0030,0.031,0.06,-0.964,0.966
2019-06-03 12:33:52.0130,0.046,0.068,-0.909,0.913
2019-06-03 12:33:52.0230,0.041,0.083,-0.896,0.901
2019-06-03 12:33:52.0330,0.021,0.083,-0.926,0.93
2019-06-03 12:33:52.0430,0.004,0.063,-0.974,0.976
2019-06-03 12:33:52.0820,0.018,0.031,-1.016,1.017
2019-06-03 12:33:52.0820,0.018,0.031,-1.016,1.017
2019-06-03 12:33:52.0820,0.018,0.031,-1.016,1.017
2019-06-03 12:33:52.0840,0.021,0.046,-1.0,1.001
2019-06-03 12:33:52.0930,0.009,0.055,-0.976,0.978
2019-06-03 12:33:52.1020,-0.007,0.059,-0.958,0.96
2019-06-03 12:33:52.1120,-0.022,0.055,-0.944,0.946
2019-06-03 12:33:52.1220,-0.024,0.053,-0.938,0.94
2019-06-03 12:33:52.1320,-0.015,0.055,-0.931,0.933
2019-06-03 12:33:52.1420,0.003,0.064,-0.932,0.934
2019-06-03 12:33:52.1810,0.001,0.069,-0.942,0.945
2019-06-03 12:33:52.1810,0.001,0.069,-0.942,0.945
2019-06-03 12:33:52.1810,0.001,0.069,-0.942,0.945
2019-06-03 12:33:52.1820,-0.015,0.06,-0.949,0.951
2019-06-03 12:33:52.1920,-0.03,0.051,-0.959,0.961
2019-06-03 12:33:52.2020,-0.035,0.05,-0.971,0.973
2019-06-03 12:33:52.2120,-0.033,0.065,-0.982,0.985
2019-06-03 12:33:52.2220,-0.036,0.086,-0.996,1.0
2019-06-03 12:33:52.2320,-0.035,0.103,-1.028,1.034
2019-06-03 12:33:52.2420,-0.027,0.091,-1.059,1.063
2019-06-03 12:33:52.2800,0.014,0.037,-0.977,0.978
2019-06-03 12:33:52.2800,0.014,0.037,-0.977,0.978
2019-06-03 12:33:52.2800,0.014,0.037,-0.977,0.978
2019-06-03 12:33:52.2820,0.019,0.047,-0.943,0.944
2019-06-03 12:33:52.2910,0.034,0.063,-0.932,0.935
2019-06-03 12:33:52.3010,0.044,0.078,-0.929,0.933
2019-06-03 12:33:52.3110,0.05,0.086,-0.938,0.943
2019-06-03 12:33:52.3210,0.054,0.09,-0.971,0.977
2019-06-03 12:33:52.3310,0.041,0.09,-1.007,1.012
2019-06-03 12:33:52.3410,0.026,0.095,-1.04,1.045
2019-06-03 12:33:52.3800,0.051,0.064,-1.086,1.089
2019-06-03 12:33:52.3800,0.051,0.064,-1.086,1.089
2019-06-03 12:33:52.3800,0.051,0.064,-1.086,1.089
2019-06-03 12:33:52.3820,0.066,0.052,-1.068,1.071
2019-06-03 12:33:52.3910,0.082,0.051,-1.037,1.041
2019-06-03 12:33:52.4000,0.077,0.044,-1.013,1.017
2019-06-03 12:33:52.4100,0.051,0.041,-1.03,1.032
2019-06-03 12:33:52.4200,0.023,0.043,-1.083,1.084
2019-06-03 12:33:52.4300,-0.012,0.051,-1.141,1.142
