time,gFx,gFy,gFz
2019-05-31 9:36:05.1360,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1360,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1360,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1360,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1370,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1380,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1380,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1380,0.015,-0.117,-0.867,0.875
2019-05-31 9:36:05.1460,0.003,-0.148,-0.897,0.909
2019-05-31 9:36:05.1510,-0.01,-0.166,-0.941,0.956
2019-05-31 9:36:05.1610,-0.015,-0.156,-0.987,0.999
2019-05-31 9:36:05.1720,-0.018,-0.131,-1.006,1.015
2019-05-31 9:36:05.1810,-0.021,-0.112,-0.991,0.998
2019-05-31 9:36:05.1910,-0.01,-0.103,-0.957,0.963
2019-05-31 9:36:05.2020,-0.0,-0.095,-0.924,0.929
2019-05-31 9:36:05.2130,-0.021,-0.097,-0.902,0.907
2019-05-31 9:36:05.2220,-0.033,-0.132,-0.881,0.891
2019-05-31 9:36:05.2310,-0.043,-0.164,-0.9,0.916
2019-05-31 9:36:05.2410,-0.053,-0.167,-0.938,0.954
2019-05-31 9:36:05.2510,-0.035,-0.151,-0.987,0.999
2019-05-31 9:36:05.2620,-0.004,-0.137,-1.005,1.014
2019-05-31 9:36:05.2720,0.008,-0.135,-0.968,0.977
2019-05-31 9:36:05.2820,0.015,-0.138,-0.922,0.932
2019-05-31 9:36:05.2920,0.012,-0.13,-0.902,0.911
2019-05-31 9:36:05.3020,-0.003,-0.124,-0.92,0.928
2019-05-31 9:36:05.3210,-0.001,-0.123,-0.971,0.979
2019-05-31 9:36:05.3250,0.019,-0.13,-0.992,1.001
2019-05-31 9:36:05.3310,0.029,-0.141,-0.993,1.003
2019-05-31 9:36:05.3420,0.02,-0.133,-0.972,0.981
2019-05-31 9:36:05.3510,0.005,-0.087,-0.922,0.926
2019-05-31 9:36:05.3620,-0.006,-0.041,-0.881,0.882
2019-05-31 9:36:05.3720,-0.015,-0.048,-0.871,0.872
