time,gFx,gFy,gFz,gFTotal
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0650,-0.09,-0.114,-0.97,0.981
2019-06-01 14:41:58.0780,-0.089,-0.112,-0.974,0.984
2019-06-01 14:41:58.0810,-0.088,-0.111,-0.968,0.978
2019-06-01 14:41:58.0910,-0.088,-0.111,-0.967,0.977
2019-06-01 14:41:58.1120,-0.086,-0.104,-0.968,0.977
2019-06-01 14:41:58.1140,-0.086,-0.104,-0.968,0.977
2019-06-01 14:41:58.1210,-0.087,-0.102,-0.974,0.983
2019-06-01 14:41:58.1310,-0.086,-0.102,-0.974,0.983
2019-06-01 14:41:58.1410,-0.084,-0.105,-0.974,0.983
2019-06-01 14:41:58.1510,-0.085,-0.104,-0.977,0.986
2019-06-01 14:41:58.1610,-0.085,-0.103,-0.978,0.987
2019-06-01 14:41:58.1700,-0.086,-0.103,-0.981,0.99
2019-06-01 14:41:58.1800,-0.088,-0.107,-0.983,0.993
2019-06-01 14:41:58.1900,-0.089,-0.109,-0.983,0.993
2019-06-01 14:41:58.2130,-0.097,-0.102,-0.986,0.996
2019-06-01 14:41:58.2150,-0.097,-0.102,-0.986,0.996
2019-06-01 14:41:58.2200,-0.096,-0.1,-0.99,1.0
2019-06-01 14:41:58.2300,-0.097,-0.094,-0.992,1.001
2019-06-01 14:41:58.2400,-0.095,-0.095,-0.994,1.003
2019-06-01 14:41:58.2500,-0.094,-0.096,-1.002,1.011
2019-06-01 14:41:58.2600,-0.091,-0.092,-1.008,1.016
2019-06-01 14:41:58.2700,-0.09,-0.087,-1.003,1.011
2019-06-01 14:41:58.2800,-0.088,-0.085,-0.997,1.004
2019-06-01 14:41:58.2900,-0.086,-0.082,-1.0,1.007
2019-06-01 14:41:58.3220,-0.082,-0.074,-0.994,1.0
2019-06-01 14:41:58.3240,-0.082,-0.074,-0.994,1.0
2019-06-01 14:41:58.3240,-0.082,-0.074,-0.994,1.0
2019-06-01 14:41:58.3300,-0.082,-0.074,-0.995,1.001
